totals_rds	glm_csv	bb_csv	output_rds	seed
results/sim_runs/zinb_totals/Fibroblast/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Fibroblast/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Fibroblast/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Fibroblast/F1_Young_seed7032.rds	7032
results/sim_runs/zinb_totals/Fibroblast/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Fibroblast/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Fibroblast/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Fibroblast/F1_Young_seed7033.rds	7033
results/sim_runs/zinb_totals/Coronary_EC/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Coronary_EC/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Coronary_EC/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Coronary_EC/F1_Aged_seed7041.rds	7041
results/sim_runs/zinb_totals/Coronary_EC/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Coronary_EC/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Coronary_EC/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Coronary_EC/F1_Aged_seed7042.rds	7042
results/sim_runs/zinb_totals/Coronary_EC/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Coronary_EC/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Coronary_EC/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Coronary_EC/F1_Aged_seed7043.rds	7043
results/sim_runs/zinb_totals/Coronary_EC/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Coronary_EC/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Coronary_EC/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Coronary_EC/F1_Young_seed7051.rds	7051
results/sim_runs/zinb_totals/Coronary_EC/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Coronary_EC/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Coronary_EC/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Coronary_EC/F1_Young_seed7052.rds	7052
results/sim_runs/zinb_totals/Coronary_EC/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Coronary_EC/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Coronary_EC/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Coronary_EC/F1_Young_seed7053.rds	7053
results/sim_runs/zinb_totals/Pericytes/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Pericytes/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Pericytes/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Pericytes/F1_Aged_seed7061.rds	7061
results/sim_runs/zinb_totals/Pericytes/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Pericytes/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Pericytes/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Pericytes/F1_Aged_seed7062.rds	7062
results/sim_runs/zinb_totals/Pericytes/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Pericytes/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Pericytes/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Pericytes/F1_Aged_seed7063.rds	7063
results/sim_runs/zinb_totals/Pericytes/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Pericytes/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Pericytes/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Pericytes/F1_Young_seed7071.rds	7071
results/sim_runs/zinb_totals/Pericytes/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Pericytes/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Pericytes/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Pericytes/F1_Young_seed7072.rds	7072
results/sim_runs/zinb_totals/Pericytes/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Pericytes/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Pericytes/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Pericytes/F1_Young_seed7073.rds	7073
results/sim_runs/zinb_totals/Myeloid/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Myeloid/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Myeloid/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Myeloid/F1_Aged_seed7081.rds	7081
results/sim_runs/zinb_totals/Myeloid/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Myeloid/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Myeloid/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Myeloid/F1_Aged_seed7082.rds	7082
results/sim_runs/zinb_totals/Myeloid/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Myeloid/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Myeloid/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Myeloid/F1_Aged_seed7083.rds	7083
results/sim_runs/zinb_totals/Myeloid/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Myeloid/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Myeloid/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Myeloid/F1_Young_seed7091.rds	7091
results/sim_runs/zinb_totals/Myeloid/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Myeloid/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Myeloid/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Myeloid/F1_Young_seed7092.rds	7092
results/sim_runs/zinb_totals/Myeloid/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Myeloid/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Myeloid/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Myeloid/F1_Young_seed7093.rds	7093
results/sim_runs/zinb_totals/Endocardial_EC/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Endocardial_EC/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Endocardial_EC/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Endocardial_EC/F1_Aged_seed7101.rds	7101
results/sim_runs/zinb_totals/Endocardial_EC/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Endocardial_EC/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Endocardial_EC/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Endocardial_EC/F1_Aged_seed7102.rds	7102
results/sim_runs/zinb_totals/Endocardial_EC/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Endocardial_EC/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Endocardial_EC/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Endocardial_EC/F1_Aged_seed7103.rds	7103
results/sim_runs/zinb_totals/Endocardial_EC/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Endocardial_EC/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Endocardial_EC/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Endocardial_EC/F1_Young_seed7111.rds	7111
results/sim_runs/zinb_totals/Endocardial_EC/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Endocardial_EC/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Endocardial_EC/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Endocardial_EC/F1_Young_seed7112.rds	7112
results/sim_runs/zinb_totals/Endocardial_EC/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Endocardial_EC/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Endocardial_EC/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Endocardial_EC/F1_Young_seed7113.rds	7113
results/sim_runs/zinb_totals/Mesothelial/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Mesothelial/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Mesothelial/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Mesothelial/F1_Aged_seed7121.rds	7121
results/sim_runs/zinb_totals/Mesothelial/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Mesothelial/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Mesothelial/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Mesothelial/F1_Aged_seed7122.rds	7122
results/sim_runs/zinb_totals/Mesothelial/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Mesothelial/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Mesothelial/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Mesothelial/F1_Aged_seed7123.rds	7123
results/sim_runs/zinb_totals/Mesothelial/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Mesothelial/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Mesothelial/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Mesothelial/F1_Young_seed7131.rds	7131
results/sim_runs/zinb_totals/Mesothelial/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Mesothelial/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Mesothelial/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Mesothelial/F1_Young_seed7132.rds	7132
results/sim_runs/zinb_totals/Mesothelial/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Mesothelial/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Mesothelial/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Mesothelial/F1_Young_seed7133.rds	7133
results/sim_runs/zinb_totals/Lymphatic_EC/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Lymphatic_EC/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Lymphatic_EC/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Lymphatic_EC/F1_Aged_seed7141.rds	7141
results/sim_runs/zinb_totals/Lymphatic_EC/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Lymphatic_EC/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Lymphatic_EC/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Lymphatic_EC/F1_Aged_seed7142.rds	7142
results/sim_runs/zinb_totals/Lymphatic_EC/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Lymphatic_EC/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Lymphatic_EC/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Lymphatic_EC/F1_Aged_seed7143.rds	7143
results/sim_runs/zinb_totals/Lymphatic_EC/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Lymphatic_EC/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Lymphatic_EC/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Lymphatic_EC/F1_Young_seed7151.rds	7151
results/sim_runs/zinb_totals/Lymphatic_EC/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Lymphatic_EC/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Lymphatic_EC/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Lymphatic_EC/F1_Young_seed7152.rds	7152
results/sim_runs/zinb_totals/Lymphatic_EC/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Lymphatic_EC/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Lymphatic_EC/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Lymphatic_EC/F1_Young_seed7153.rds	7153
results/sim_runs/zinb_totals/T_cell/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/T_cell/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/T_cell/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/T_cell/F1_Aged_seed7161.rds	7161
results/sim_runs/zinb_totals/T_cell/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/T_cell/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/T_cell/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/T_cell/F1_Aged_seed7162.rds	7162
results/sim_runs/zinb_totals/T_cell/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/T_cell/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/T_cell/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/T_cell/F1_Aged_seed7163.rds	7163
results/sim_runs/zinb_totals/T_cell/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/T_cell/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/T_cell/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/T_cell/F1_Young_seed7171.rds	7171
results/sim_runs/zinb_totals/T_cell/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/T_cell/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/T_cell/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/T_cell/F1_Young_seed7172.rds	7172
results/sim_runs/zinb_totals/T_cell/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/T_cell/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/T_cell/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/T_cell/F1_Young_seed7173.rds	7173
results/sim_runs/zinb_totals/Smooth_Muscle/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Smooth_Muscle/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Smooth_Muscle/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Smooth_Muscle/F1_Aged_seed7181.rds	7181
results/sim_runs/zinb_totals/Smooth_Muscle/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Smooth_Muscle/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Smooth_Muscle/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Smooth_Muscle/F1_Aged_seed7182.rds	7182
results/sim_runs/zinb_totals/Smooth_Muscle/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Smooth_Muscle/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Smooth_Muscle/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Smooth_Muscle/F1_Aged_seed7183.rds	7183
results/sim_runs/zinb_totals/Smooth_Muscle/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Smooth_Muscle/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Smooth_Muscle/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Smooth_Muscle/F1_Young_seed7191.rds	7191
results/sim_runs/zinb_totals/Smooth_Muscle/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Smooth_Muscle/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Smooth_Muscle/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Smooth_Muscle/F1_Young_seed7192.rds	7192
results/sim_runs/zinb_totals/Smooth_Muscle/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Smooth_Muscle/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Smooth_Muscle/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Smooth_Muscle/F1_Young_seed7193.rds	7193
